s_id,sch_id,s_itt_2122,sum_score,std_pretest,mean_sum,mean_pre,school_size,pretest_dev
4740,66,1,19,0.5975625754699925,13.330434782608696,-0.22231414039886202,115,0.8198767158688545
2051,66,1,13,-0.003680349500500814,13.330434782608696,-0.22231414039886202,115,0.2186337908983612
3492,66,1,21,0.870854814092944,13.330434782608696,-0.22231414039886202,115,1.093168954491806
4323,66,1,23,0.5975625754699925,13.330434782608696,-0.22231414039886202,115,0.8198767158688545
6651,66,1,9,-0.9875324085431262,13.330434782608696,-0.22231414039886202,115,-0.7652182681442642
1252,66,1,13,0.324270336847041,13.330434782608696,-0.22231414039886202,115,0.546584477245903
4507,66,1,8,0.2696118891224507,13.330434782608696,-0.22231414039886202,115,0.4919260295213127
7016,66,1,8,-0.8235570653693554,13.330434782608696,-0.22231414039886202,115,-0.6012429249704934
1635,66,1,13,-1.1515077517168972,13.330434782608696,-0.22231414039886202,115,-0.9291936113180352
6728,40,1,12,0.4335872322962216,12.868217054263566,-0.6739878246966392,129,1.1075750569928609
2683,66,1,8,-0.16765569267427172,13.330434782608696,-0.22231414039886202,115,0.0546584477245903
7065,66,1,7,-1.6980922289628002,13.330434782608696,-0.22231414039886202,115,-1.4757780885639382
5586,66,1,4,-0.49560637902181354,13.330434782608696,-0.22231414039886202,115,-0.2732922386229515
3152,66,1,15,0.5429041277454022,13.330434782608696,-0.22231414039886202,115,0.7652182681442642
6142,66,1,6,-1.5887753335136194,13.330434782608696,-0.22231414039886202,115,-1.3664611931147574
